LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
Cer(m18:0_20:0),Cer,(m18:0_20:0),579.5954,32.0363,C,7.69,25500,43500,34600,62700,17100,17100,19500,18500,30181.81818,30003.63636,45341.27273,30137.27273
Cer(m18:0_22:0),Cer,(m18:0_22:0),607.6267,35.6621,C,15.38,64100,71800,98100,98500,48700,57800,45800,20900,104727.2727,104549.0909,131250.3636,104682.7273
Cer(m18:1_20:0),Cer,(m18:1_20:0),577.5798,28.0278,C,7.69,10600,10200,308,2990,,,,,175272.7273,175094.5455,238917.6364,175228.1818
Cer(m18:1_22:0),Cer,(m18:1_22:0),605.6111,33.1564,C,7.69,22900,16500,2810,7230,,,,,25818.18182,25640,38359.45455,25773.63636
Cer(m18:1_22:0),Cer,(m18:1_22:0),605.6111,33.2369,C,7.69,22900,16500,2870,7280,,,,,154545.4545,154367.2727,167068.5455,154500.9091
Cer(m18:1_24:1),Cer,(m18:1_24:1),631.6267,32.6009,C,7.69,76300,18300,72000,41400,,0,1750,,65454.54545,65276.36364,166595.8182,65410
Cer(m18:1_24:1),Cer,(m18:1_24:1),631.6267,32.696,C,15.38,76300,69000,72000,81900,,0,1760,,269090.9091,268912.7273,351250.3636,269046.3636
Ch(),Ch,,386.3549,18.8022,A,69.23,960000,1180000,970000,1350000,629000,762000,694000,775000,172363.6364,172185.4545,561250.3636,172319.0909
Ch(),Ch,,386.3549,42.4245,A,7.69,75400,88000,72700,29400,72200,150000,33200,73000,29272.72727,29094.54545,55432.18182,29228.18182
Ch(),Ch,,386.3549,42.4926,A,23.08,119000,85600,71100,34900,79100,209000,189000,155000,57090.90909,56912.72727,90523.09091,57046.36364
Ch(),Ch,,386.3549,43.5023,A,23.08,299000,273000,278000,275000,235000,379000,396000,207000,194545.4545,194367.2727,255250.3636,194500.9091
Ch(),Ch,,386.3549,43.5353,A,30.77,299000,273000,278000,275000,235000,379000,396000,207000,194545.4545,194367.2727,255250.3636,194500.9091
Ch(),Ch,,386.3549,45.072,A,84.62,1090000,1040000,922000,1290000,1940000,958000,1760000,1110000,3345454.545,3345276.364,5154523.091,3345410
Ch(),Ch,,386.3549,45.1197,A,23.08,1090000,1040000,922000,1290000,1940000,958000,1760000,1110000,3345454.545,3345276.364,4887250.364,3345410
Ch(),Ch,,386.3549,45.3533,A,30.77,332000,324000,318000,419000,103000,261000,129000,108000,889090.9091,888912.7273,1296159.455,889046.3636
Ch(),Ch,,386.3549,45.3749,A,23.08,332000,324000,318000,165000,103000,261000,151000,108000,889090.9091,888912.7273,1176159.455,889046.3636
