LipidMolec,intensity[s1],intensity[s2],intensity[s3],intensity[s4],intensity[s5],intensity[s6],intensity[s7],intensity[s8],intensity[s9],intensity[s10],intensity[s11],intensity[s12]
SM(d35:4),0.3808823529411770,0.6010344827586210,0.5034042553191490,0.2375355450236970,0.19237113402061900,0.08802739726027400,0.06878411910669980,0.21562204724409400,0.9552168815943730,0.950500760931502,0.7681957588821440,0.954037953024442
SM(d36:0),9.813725490196080,21.090517241379300,12.138297872340400,15.061611374407600,4.410309278350520,6.0986301369863000,5.679900744416870,6.376062992125980,5.317702227432590,5.313487364316180,4.971046091438030,5.316648602451070
SM(d36:1),75.49019607843140,247.11206896551700,170.53191489361700,62.568720379146900,72.37113402061860,66.73972602739730,99.52853598014890,52.714960629921300,55.14654161781950,55.148052179500100,19.885129949419400,55.146919225698700
SM(d36:2),10.980392156862700,8.454310344827590,13.329787234042600,11.47867298578200,11.50515463917530,11.852054794520500,8.54590570719603,14.220472440944900,15.116060961313000,15.112971947539100,10.188412884367600,15.115288774413800
SM(d36:3),1.8598039215686300,6.743534482758620,3.06063829787234,4.399052132701420,2.375257731958760,1.9101369863013700,0.9848635235732010,2.6125984251968500,0.5022274325908560,0.49745926261164800,0.67619994951762,0.5010354928131000
SM(d36:4),32.529411764705900,56.935344827586200,37.75531914893620,35.29857819905210,37.360824742268000,28.709589041095900,17.612903225806500,47.02677165354330,34.36811254396250,34.367235626132900,45.690082604036600,34.36789333339590
SM(d36:5),0.3952941176470590,0.2896551724137930,0.38872340425531900,0.49165876777251200,0.3692783505154640,0.27673972602739700,0.2819106699751860,0.5913070866141730,1.477139507620160,1.4724833568217700,1.0303453772105800,1.475975570224470
SM(d37:1),10.019607843137300,12.038793103448300,9.085106382978720,14.0,3.3587628865979400,2.238082191780820,1.8655086848635200,4.325669291338580,6.400937866354040,6.396847468994090,5.029984910808060,6.399915355130360
SM(d38:0),3.6509803921568600,5.023706896551720,4.468085106382980,5.586729857819910,1.268041237113400,3.2276712328767100,2.287593052109180,1.957795275590550,5.36694021101993,5.3627310054379000,4.4713474054747300,5.365888000300130
SM(d38:1),9.196078431372550,8.191810344827590,40.88297872340430,17.71563981042650,4.509278350515460,10.7013698630137,12.037220843672500,27.448818897637800,30.281359906213400,30.280013413029900,20.384828635382700,30.281023311924000
SM(d38:2),10.22549019607840,10.5,11.840425531914900,13.270142180094800,4.329896907216500,5.69013698630137,4.997270471464020,8.069291338582680,5.071512309495900,5.067269158707570,6.011444381187240,5.070451613205770
SM(d38:4),6.814705882352940,17.107758620689700,12.51063829787230,9.753554502369670,7.546391752577320,9.32054794520548,4.726302729528540,14.088188976378000,6.0562719812426700,6.0521419811420300,7.712982470826350,6.055239570186950
SM(d39:1),11.529411764705900,17.560344827586200,12.287234042553200,12.80568720379150,6.68041237113402,5.868493150684930,5.419354838709680,5.965984251968500,3.3186400937866400,3.314195534774220,4.865981239517540,3.3175290497792700
SM(d40:0),10.019607843137300,17.83189655172410,12.287234042553200,14.464454976303300,4.929896907216500,7.0191780821917800,4.960794044665010,3.928818897637800,10.339976553341100,10.336338758732000,7.928237289395160,10.339067183055100
SM(d40:1),170.19607843137300,254.3534482758620,201.06382978723400,194.40758293838900,89.0721649484536,73.06849315068490,81.81141439205960,98.5511811023622,182.67291910902700,182.68908268476300,122.00304090140500,182.6769596547620
SM(d40:2),24.980392156862700,37.92672413793100,30.30851063829790,21.03317535545020,17.628865979381400,8.745205479452060,14.851116625310200,14.551181102362200,14.475967174677600,14.472804612956700,15.170024399817000,14.475176602376000
SM(d40:3),2.353921568627450,3.8650862068965500,4.267021276595740,2.727014218009480,1.1690721649484500,2.0021917808219200,1.1672456575682400,2.1496062992126000,2.269871043376320,2.265305978881510,2.4494896453463300,2.2687298755943200
SM(d41:0),0.4371568627450980,0.2561637931034480,0.4527659574468090,0.02581042654028440,0.1979381443298970,0.2123013698630140,0.2298014888337470,0.12566929133858300,0.2383118405627200,0.23351334619921200,0.2028956044026440,0.23711232034214300
SM(d41:1),74.80392156862740,116.76724137931000,102.7659574468090,86.25592417061610,49.48453608247420,37.224657534246600,29.962779156327500,44.116535433070900,98.96834701055100,98.97489277783380,75.95388507186480,98.96998331136120
SM(d41:2),9.745098039215690,16.38362068965520,19.73404255319150,13.004739336492900,11.010309278350500,8.975342465753430,7.399503722084370,11.310236220472400,14.180539273153600,14.177342766226400,10.987930781908900,14.179740215281700
SM(d42:0),9.058823529411760,21.36206896551720,12.808510638297900,14.199052132701400,6.742268041237110,10.471232876712300,6.5136476426799,5.985826771653540,5.1699882766705700,5.165756440951010,5.57837218668572,5.16893040890389
SM(d42:1),13.862745098039200,25.073275862069000,17.648936170212800,16.322274881516600,7.051546391752580,8.802739726027400,5.523573200992560,6.151181102362210,14.968347010551000,14.965241024173900,11.349251370220800,14.967570580866600
SM(d42:2),18.80392156862750,9.323275862068970,20.106382978723400,21.76303317535550,15.52577319587630,15.189041095890400,15.05955334987590,13.360629921259800,17.922626025791300,17.919859491477300,17.386636519602900,17.921934451810200
SM(d42:3),105.68627450980400,167.45689655172400,135.53191489361700,120.09478672985800,61.85567010309280,72.4931506849315,58.36228287841190,83.33858267716540,64.50175849941380,64.50434399262750,70.82877034403610,64.50240481702000
SM(d43:1),2.8,0.8581034482758620,3.2840425531914900,2.660663507109010,1.997938144329900,2.905479452054790,2.21985111662531,2.189291338582680,3.087221570926140,3.0827504215021200,1.967728860930440,3.0861038798887000
SM(d43:2),1.6401960784313700,2.5797413793103400,1.802127659574470,1.924170616113740,0.6556701030927840,0.8687671232876710,0.6617866004962780,1.0450393700787400,1.688862837045720,1.6842310136451800,1.1738485895897800,1.6877049809754200
SM(d43:4),2.8,5.711637931034480,3.45531914893617,2.056872037914690,2.0969072164948500,2.307123287671230,1.56848635235732,2.0040944881889800,4.116295427901520,4.111942520946130,3.4591372467285800,4.115207294934030
SM(d44:5),20.38235294117650,22.810344827586200,27.329787234042600,18.5781990521327,9.958762886597940,10.183561643835600,10.057071960297800,7.143307086614170,11.964830011723300,11.961378915748800,7.6309806351810900,11.963967312074000
SM(d44:6),2.9647058823529400,7.603448275862070,5.034042553191490,4.412322274881520,6.068041237113400,6.213698630136990,2.0478908188585600,9.590551181102360,5.514654161781950,5.510461928803080,5.424618744850860,5.513606193847300
SM(t33:1),0.7068627450980390,0.6861206896551720,1.221276595744680,0.6489099526066350,0.34577319587628900,0.49019178082191800,0.15997518610421800,0.3697322834645670,0.3614067995310670,0.3566224490035200,0.3148793612057000,0.3602108149647910
SM(t34:1),5.8196078431372600,6.55344827586207,6.493617021276600,6.0379146919431300,14.350515463917500,7.47945205479452,5.419354838709680,12.103937007874000,10.536928487690500,10.533313323218800,8.653441023382910,10.536024774451300
